Disease_Target,Combination,Meta_Learner,Val_AUROC,Val_AUPRC,Val_Selection_Score,Fit_Time_Sec
High_Adiposity_Risk,Full_Multimodal_Fusion,XGBoost,0.6753,0.5597,0.6175,0.12
Metabolic_Syndrome,Clinical_Only,LogisticRegression,0.9978,0.9983,0.998,0.1
Metabolic_Syndrome,Clinical_Only,LightGBM,0.9967,0.9962,0.9964,0.08
Metabolic_Syndrome,Clinical_Only,XGBoost,0.9967,0.9962,0.9964,0.08
Metabolic_Syndrome,Wearable_Only,LogisticRegression,0.6151,0.674,0.6445,0.11
Metabolic_Syndrome,Wearable_Only,LightGBM,0.6148,0.6683,0.6416,0.25
Metabolic_Syndrome,Wearable_Only,XGBoost,0.6148,0.6678,0.6413,0.1
Metabolic_Syndrome,Gut_Only,LogisticRegression,0.5791,0.6331,0.6061,0.03
Metabolic_Syndrome,Gut_Only,LightGBM,0.5785,0.631,0.6047,0.07
Metabolic_Syndrome,Gut_Only,XGBoost,0.5786,0.631,0.6048,0.07
Metabolic_Syndrome,Clinical_Wearable,LogisticRegression,0.9977,0.9982,0.9979,0.06
Metabolic_Syndrome,Clinical_Wearable,LightGBM,0.9967,0.9962,0.9964,0.11
Metabolic_Syndrome,Clinical_Wearable,XGBoost,0.9967,0.9962,0.9964,0.07
Metabolic_Syndrome,Clinical_Gut,LogisticRegression,0.9977,0.9982,0.9979,0.06
Metabolic_Syndrome,Clinical_Gut,LightGBM,0.9967,0.9962,0.9964,0.14
Metabolic_Syndrome,Clinical_Gut,XGBoost,0.9967,0.9962,0.9964,0.07
Metabolic_Syndrome,Wearable_Gut,LogisticRegression,0.6305,0.688,0.6593,0.04
Metabolic_Syndrome,Wearable_Gut,LightGBM,0.6299,0.6861,0.658,0.11
Metabolic_Syndrome,Wearable_Gut,XGBoost,0.6298,0.6859,0.6578,0.07
Metabolic_Syndrome,Full_Multimodal_Fusion,LogisticRegression,0.9977,0.9981,0.9979,0.09
Metabolic_Syndrome,Full_Multimodal_Fusion,LightGBM,0.9967,0.9962,0.9964,0.08
Metabolic_Syndrome,Full_Multimodal_Fusion,XGBoost,0.9967,0.9962,0.9964,0.07
NAFLD,Clinical_Only,LogisticRegression,0.5,0.5959,0.548,0.08
NAFLD,Clinical_Only,LightGBM,0.5,0.5959,0.548,0.11
NAFLD,Clinical_Only,XGBoost,0.5,0.5959,0.548,0.08
NAFLD,Wearable_Only,LogisticRegression,0.6086,0.6863,0.6474,0.09
NAFLD,Wearable_Only,LightGBM,0.6081,0.6827,0.6454,0.18
NAFLD,Wearable_Only,XGBoost,0.6086,0.683,0.6458,0.06
NAFLD,Gut_Only,LogisticRegression,0.6364,0.7076,0.672,0.03
NAFLD,Gut_Only,LightGBM,0.636,0.7034,0.6697,0.06
NAFLD,Gut_Only,XGBoost,0.6361,0.7036,0.6698,0.07
NAFLD,Clinical_Wearable,LogisticRegression,0.6086,0.6863,0.6474,0.05
NAFLD,Clinical_Wearable,LightGBM,0.6081,0.6827,0.6454,0.15
NAFLD,Clinical_Wearable,XGBoost,0.6086,0.683,0.6458,0.07
NAFLD,Clinical_Gut,LogisticRegression,0.6364,0.7076,0.672,0.05
NAFLD,Clinical_Gut,LightGBM,0.636,0.7034,0.6697,0.08
NAFLD,Clinical_Gut,XGBoost,0.6361,0.7036,0.6698,0.07
NAFLD,Wearable_Gut,LogisticRegression,0.6596,0.7261,0.6929,0.03
NAFLD,Wearable_Gut,LightGBM,0.6573,0.7231,0.6902,0.09
NAFLD,Wearable_Gut,XGBoost,0.6573,0.723,0.6902,0.06
NAFLD,Full_Multimodal_Fusion,LogisticRegression,0.6596,0.7261,0.6929,0.03
NAFLD,Full_Multimodal_Fusion,LightGBM,0.6573,0.7231,0.6902,0.06
NAFLD,Full_Multimodal_Fusion,XGBoost,0.6573,0.723,0.6902,0.07
