,Type2_Diabetes,Prediabetes,High_Adiposity_Risk,Metabolic_Syndrome,NAFLD,Macro_Average,Micro_Average
C,0.7809783539839038,0.7831409304465276,0.38787886184781595,0.7930878071172409,0.5968944997187017,0.668396090622838,0.6960181997724493
W,0.6973973485348515,0.5656509015209621,0.5395109449608968,0.6707986815244167,0.5954037359672254,0.6137523225016704,0.6145703017108642
G,0.5750188561795525,0.6462433633888054,0.4111196048600986,0.632145099372486,0.710547878390257,0.5950149604382399,0.5941414728389421
C+W,0.785941089744147,0.7781169632518343,0.5350259093179655,0.7933470893181397,0.5961225126737567,0.6977107128611687,0.6956002241107366
C+G,0.7809783539839038,0.7800838728289148,0.3958440628311787,0.793285539160852,0.5968944997187017,0.6694172657047102,0.6947979901764794
W+G,0.7027916951526099,0.6462823117166203,0.5380922878820146,0.6826177607508992,0.7103451527343663,0.656025841647302,0.634942746826485
C+W+G,0.785941089744147,0.7801165593610243,0.5357900345771487,0.7936667069265199,0.5961225126737567,0.6983273806565193,0.6959982663413822
