,Type2_Diabetes,Prediabetes,High_Adiposity_Risk,Metabolic_Syndrome,NAFLD,Macro_Average,Micro_Average
C,0.7179387834172801,0.7086060007408322,0.0,0.7164270794937954,0.0,0.4285943727303816,0.5457963579588
W,0.6474423269809428,0.0,0.5508766437069506,0.6284956605593057,0.1175999198637684,0.3888829102221935,0.4542432415480148
G,0.46266737272108327,0.6111144852717887,0.4467316998233351,0.5924164837844428,0.4423016619629978,0.5110463407127295,0.5197946091869251
C+W,0.6883525708289612,0.6960480556433766,0.5601151907847373,0.7244897959183674,0.7484355444305382,0.6834882315211961,0.6859230740477703
C+G,0.6883525708289612,0.7096575889838322,0.5601151907847373,0.7244897959183674,0.7484355444305382,0.6862101381892873,0.6880257574629643
W+G,0.634322006154652,0.27803539320526166,0.5544630511599324,0.627366343960042,0.4014442803216806,0.4991262149603138,0.5190229107506579
C+W+G,0.6883525708289612,0.6960480556433766,0.5601151907847373,0.7244897959183674,0.7484355444305382,0.6834882315211961,0.6859230740477703
