,Type2_Diabetes,Prediabetes,High_Adiposity_Risk,Metabolic_Syndrome,NAFLD,Macro_Average,Micro_Average
C,0.7777208198744445,0.7498783199498386,0.49904850192439754,0.7581024676867791,0.4980808332917353,0.656566188545439,0.627698045176916
W,0.6771560722827872,0.5020164690813348,0.6602458778436462,0.6206947704747001,0.497064214416583,0.5914354808198102,0.595335700107273
G,0.547117391878359,0.5975401040649408,0.5262672951520515,0.5777418238857011,0.6378895747941822,0.5773112379550469,0.5652172675290877
C+W,0.781879548790753,0.7493501613665221,0.6564197182848389,0.7583821654205065,0.49707572320486015,0.6886214634134962,0.6504156986121372
C+G,0.7777208198744445,0.7498139476280675,0.5069395183326157,0.758196473077146,0.4980808332917353,0.6581503184408019,0.646342991173902
W+G,0.6809424095003788,0.597491596568996,0.659355947400579,0.6326550273865414,0.6371873076091117,0.6415264576931212,0.6233095464123222
C+W+G,0.781879548790753,0.7497874972119037,0.6570344035442761,0.7584888316524663,0.49707572320486015,0.6888532008808519,0.6506793504788018
